,id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,SalaryCap
61,ScottBurrell2000,ScottBurrell,SF,29,NJN,74,9,18.1,2.2,5.7,0.39399999999999996,1.1,3.1,0.353,1.1,2.5,0.444,0.49200000000000005,0.5,0.7,0.78,0.9,2.6,3.5,1.0,0.9,0.6,0.5,2.3,6.1,1000000.0,2000,34000000
62,JasonCaffey2000,JasonCaffey,PF,26,GSW,71,56,30.4,4.5,9.5,0.479,0.0,0.0,0.0,4.5,9.5,0.48,0.479,2.9,4.9,0.597,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12.0,3937500.0,2000,34000000
63,MichaelCage2000,MichaelCage,C,38,NJN,20,7,12.1,0.6,1.2,0.5,0.0,0.0,,0.6,1.2,0.5,0.5,0.2,0.2,1.0,1.7,2.4,4.1,0.5,0.4,0.4,0.2,1.5,1.4,510000.0,2000,34000000
64,MarcusCamby2000,MarcusCamby,C,25,NYK,59,11,26.2,3.8,8.0,0.48,0.0,0.0,0.5,3.8,7.9,0.48,0.48100000000000004,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2.0,1.2,3.5,10.2,5250000.0,2000,34000000
65,EldenCampbell2000,EldenCampbell,C,31,CHH,78,77,32.5,4.7,10.6,0.446,0.0,0.1,0.0,4.7,10.6,0.45,0.446,3.2,4.6,0.69,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,7975000.0,2000,34000000
66,AntoineCarr2000,AntoineCarr,SF,38,VAN,21,0,10.5,1.3,3.0,0.43799999999999994,0.0,0.0,,1.3,3.0,0.43799999999999994,0.43799999999999994,0.5,0.7,0.7859999999999999,0.4,1.1,1.5,0.3,0.1,0.3,0.4,2.0,3.2,1000000.0,2000,34000000
67,ChrisCarr2000,ChrisCarr,SF-SG,25,TOT,57,2,20.5,3.4,8.7,0.395,0.6,1.8,0.317,2.9,6.9,0.415,0.42700000000000005,1.9,2.2,0.856,0.7,2.3,3.0,1.5,0.5,0.3,2.1,2.0,9.3,90000.0,2000,34000000
68,AnthonyCarter2000,AnthonyCarter,PG,24,MIA,79,30,23.5,2.5,6.4,0.395,0.0,0.3,0.13,2.5,6.2,0.40700000000000003,0.39799999999999996,1.2,1.6,0.75,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,385000.0,2000,34000000
69,VinceCarter2000,VinceCarter,SF,23,TOR,82,82,38.1,9.6,20.7,0.465,1.2,2.9,0.40299999999999997,8.5,17.8,0.475,0.493,5.3,6.7,0.7909999999999999,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,2267280.0,2000,34000000
70,SamCassell2000,SamCassell,PG,30,MIL,81,81,35.8,6.7,14.4,0.466,0.3,1.1,0.289,6.4,13.3,0.48100000000000004,0.47700000000000004,4.8,5.5,0.8759999999999999,0.9,2.9,3.7,9.0,1.3,0.1,3.3,3.1,18.6,3500000.0,2000,34000000
71,KelvinCato2000,KelvinCato,C,25,HOU,65,32,24.3,3.3,6.2,0.537,0.0,0.1,0.0,3.3,6.1,0.5429999999999999,0.537,2.1,3.2,0.649,1.6,4.4,6.0,0.4,0.5,1.9,1.1,2.7,8.7,1299000.0,2000,34000000
72,DuaneCauswell2000,DuaneCauswell,C,31,MIA,25,2,7.4,0.8,1.5,0.541,0.0,0.0,,0.8,1.5,0.541,0.541,1.0,1.5,0.684,0.4,1.4,1.9,0.1,0.1,0.6,0.4,1.7,2.6,1696387.0,2000,34000000
73,CedricCeballos2000,CedricCeballos,SF,30,DAL,69,25,29.9,6.5,14.5,0.446,0.6,1.9,0.32799999999999996,5.8,12.6,0.46399999999999997,0.46799999999999997,3.0,3.6,0.843,2.5,4.2,6.7,1.3,0.8,0.3,1.8,2.4,16.6,3500000.0,2000,34000000
74,JohnCelestand2000,JohnCelestand,PG,22,LAL,16,0,11.6,0.9,2.8,0.33299999999999996,0.1,0.6,0.222,0.8,2.3,0.361,0.35600000000000004,0.3,0.4,0.833,0.1,0.6,0.7,1.3,0.4,0.0,1.0,1.4,2.3,301875.0,2000,34000000
75,RexChapman2000,RexChapman,SG,32,PHO,53,19,18.1,2.3,6.0,0.38799999999999996,0.8,2.3,0.33299999999999996,1.6,3.7,0.42100000000000004,0.452,1.1,1.5,0.7559999999999999,0.2,1.3,1.5,1.2,0.4,0.0,0.7,1.3,6.6,3150000.0,2000,34000000
76,CalbertCheaney2000,CalbertCheaney,SG,28,BOS,67,19,19.5,1.8,4.1,0.44,0.3,0.8,0.33299999999999996,1.5,3.3,0.466,0.473,0.1,0.3,0.429,0.3,1.7,2.1,1.2,0.7,0.2,0.7,2.4,4.0,2000000.0,2000,34000000
77,PeteChilcutt2000,PeteChilcutt,PF,31,TOT,56,2,10.7,0.9,2.3,0.41700000000000004,0.1,0.5,0.231,0.8,1.8,0.465,0.441,0.1,0.1,1.0,0.8,1.5,2.3,0.5,0.3,0.2,0.4,1.3,2.1,510000.0,2000,34000000
78,ChrisChilds2000,ChrisChilds,PG,32,NYK,71,2,23.6,2.1,5.0,0.409,0.5,1.5,0.35600000000000004,1.5,3.6,0.431,0.461,0.7,0.8,0.797,0.2,1.8,2.1,4.0,0.5,0.1,1.5,3.4,5.3,4160000.0,2000,34000000
79,DougChristie2000,DougChristie,SG,29,TOR,73,73,31.0,4.3,10.5,0.40700000000000003,1.4,3.8,0.36,2.9,6.7,0.434,0.47200000000000003,2.5,3.0,0.843,0.9,3.0,3.9,4.4,1.4,0.6,2.0,2.3,12.4,2742600.0,2000,34000000
80,KeonClark2000,KeonClark,C,24,DEN,81,20,22.8,3.5,6.5,0.542,0.0,0.1,0.125,3.5,6.4,0.5479999999999999,0.5429999999999999,1.5,2.2,0.688,2.0,4.2,6.2,0.9,0.6,1.4,1.5,2.9,8.6,1289400.0,2000,34000000
81,KeithCloss2000,KeithCloss,C,23,LAC,57,6,14.4,1.7,3.5,0.48700000000000004,0.0,0.1,0.0,1.7,3.4,0.495,0.48700000000000004,0.8,1.4,0.59,1.1,2.0,3.1,0.4,0.2,1.3,0.6,1.4,4.2,1680000.0,2000,34000000
82,DerrickColeman2000,DerrickColeman,PF,32,CHH,74,64,31.7,6.0,13.2,0.456,0.7,1.9,0.36200000000000004,5.3,11.3,0.47100000000000003,0.48200000000000004,4.0,5.1,0.785,1.7,6.9,8.5,2.4,0.5,1.8,2.3,2.6,16.7,7370000.0,2000,34000000
83,BimboColes2000,BimboColes,PG,31,ATL,80,54,24.1,3.5,7.6,0.455,0.1,0.5,0.205,3.4,7.1,0.47200000000000003,0.461,1.1,1.3,0.8170000000000001,0.4,1.8,2.2,3.6,0.7,0.1,1.3,2.2,8.1,2300000.0,2000,34000000
84,MartyConlon2000,MartyConlon,C,32,LAC,3,0,3.0,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.7,343588.0,2000,34000000
85,TyroneCorbin2000,TyroneCorbin,SF,37,SAC,54,5,17.4,1.6,4.6,0.35600000000000004,0.2,0.8,0.22699999999999998,1.4,3.8,0.384,0.377,0.6,0.7,0.846,0.7,2.3,3.1,1.1,0.7,0.1,0.5,1.8,4.1,510000.0,2000,34000000
86,ChrisCrawford2000,ChrisCrawford,PF,24,ATL,55,11,12.1,1.7,4.2,0.397,0.1,0.5,0.259,1.5,3.7,0.41600000000000004,0.413,1.1,1.5,0.778,0.9,0.9,1.8,0.6,0.3,0.3,0.7,1.5,4.6,2000000.0,2000,34000000
87,AustinCroshere2000,AustinCroshere,PF,24,IND,81,14,23.3,3.6,8.1,0.441,0.8,2.1,0.36200000000000004,2.8,5.9,0.47,0.489,2.4,2.9,0.848,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,1515120.0,2000,34000000
88,JohnCrotty2000,JohnCrotty,PG,30,DET,69,0,13.6,1.5,3.6,0.42200000000000004,0.5,1.2,0.413,1.1,2.5,0.42700000000000005,0.488,1.2,1.3,0.86,0.2,0.8,1.1,1.9,0.4,0.1,0.8,1.5,4.7,1237000.0,2000,34000000
89,TerryCummings2000,TerryCummings,PF,38,GSW,22,0,18.1,3.5,8.0,0.429,0.0,0.0,,3.5,8.0,0.429,0.429,1.5,1.8,0.821,2.0,2.8,4.9,1.0,0.6,0.4,1.2,3.4,8.4,2600000.0,2000,34000000
90,VonteegoCummings2000,VonteegoCummings,PG,23,GSW,75,11,23.9,3.5,8.7,0.405,0.7,2.0,0.325,2.9,6.7,0.429,0.442,1.7,2.3,0.7509999999999999,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4,704400.0,2000,34000000
91,BillCurley2000,BillCurley,SF-PF,27,TOT,28,0,11.0,1.0,2.4,0.426,0.0,0.0,0.0,1.0,2.4,0.433,0.426,0.6,0.9,0.72,0.6,1.1,1.8,0.5,0.5,0.1,0.8,2.2,2.7,117867.0,2000,34000000
92,DellCurry2000,DellCurry,SG,35,TOR,67,9,16.3,2.9,6.8,0.42700000000000005,1.4,3.6,0.39299999999999996,1.5,3.2,0.467,0.532,0.4,0.5,0.75,0.2,1.3,1.5,1.3,0.5,0.1,0.6,1.0,7.6,2100000.0,2000,34000000
93,MichaelCurry2000,MichaelCurry,SG,31,DET,82,3,19.6,2.2,4.6,0.48,0.0,0.1,0.2,2.2,4.6,0.484,0.48200000000000004,1.7,2.0,0.8390000000000001,0.3,1.0,1.3,1.1,0.4,0.1,0.9,2.5,6.2,2000000.0,2000,34000000
94,ErickDampier2000,ErickDampier,C,24,GSW,21,12,23.6,3.3,8.2,0.405,0.0,0.0,,3.3,8.2,0.405,0.405,1.3,2.4,0.529,2.3,4.1,6.4,0.9,0.4,0.7,1.4,3.6,8.0,4988000.0,2000,34000000
