,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,id,SalaryCap
16,IsaacAustin,C,30,WAS,59,23,19.9,2.6,6.0,.429,0.0,0.1,.250,2.5,5.9,.431,.430,1.6,2.3,.686,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7,"$4,819,451",2000,IsaacAustin2000,"$34,000,000"
17,AnthonyAvent,PF,30,LAC,49,3,7.7,0.6,2.0,.302,0.0,0.0,,0.6,2.0,.302,.302,0.5,0.7,.719,0.5,1.0,1.5,0.2,0.3,0.3,0.5,1.3,1.7,"$510,000",2000,AnthonyAvent2000,"$34,000,000"
18,WilliamAvery,PG,20,MIN,59,1,8.2,0.9,3.1,.309,0.3,1.1,.286,0.6,2.0,.322,.359,0.4,0.6,.667,0.1,0.5,0.7,1.5,0.2,0.0,0.7,1.0,2.6,"$1,196,520",2000,WilliamAvery2000,"$34,000,000"
19,TobyBailey,SG,24,PHO,46,2,9.8,1.3,3.0,.414,0.0,0.2,.200,1.2,2.8,.431,.421,1.0,1.4,.692,0.6,1.0,1.6,0.7,0.3,0.1,0.5,1.2,3.5,"$535,000",2000,TobyBailey2000,"$34,000,000"
20,VinBaker,C,28,SEA,79,75,36.1,6.5,14.3,.455,0.0,0.1,.250,6.5,14.2,.457,.456,3.6,5.2,.682,2.9,4.8,7.7,1.9,0.6,0.8,2.7,3.6,16.6,"$9,000,000",2000,VinBaker2000,"$34,000,000"
21,CharlesBarkley,PF,36,HOU,20,18,31.0,5.3,11.1,.477,0.3,1.3,.231,5.0,9.8,.510,.491,3.6,5.5,.645,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5,"$9,000,000",2000,CharlesBarkley2000,"$34,000,000"
22,DanaBarros,PG,32,BOS,72,0,15.8,2.7,6.0,.451,0.8,2.0,.410,1.9,4.0,.471,.518,0.9,1.1,.868,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2,"$3,500,000",2000,DanaBarros2000,"$34,000,000"
23,BrentBarry,SG,28,SEA,80,74,34.1,4.1,8.8,.463,2.1,5.0,.411,2.0,3.9,.529,.579,1.6,2.0,.809,0.6,4.0,4.7,3.6,1.3,0.4,1.8,2.9,11.8,"$3,960,000",2000,BrentBarry2000,"$34,000,000"
24,DrewBarry,PG,26,TOT,16,0,9.9,0.9,2.1,.455,0.4,1.1,.389,0.5,0.9,.533,.561,0.3,0.3,.800,0.0,0.8,0.8,2.1,0.1,0.0,0.8,1.4,2.6,"$62,765",2000,DrewBarry2000,"$34,000,000"
25,JonBarry,SG,30,SAC,62,1,20.7,2.6,5.6,.465,1.1,2.5,.429,1.5,3.1,.495,.561,1.7,1.9,.922,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0,"$800,000",2000,JonBarry2000,"$34,000,000"
26,TonyBattie,C,23,BOS,82,4,18.4,2.7,5.6,.477,0.0,0.1,.125,2.7,5.5,.483,.478,1.2,1.8,.675,1.9,3.1,5.0,0.8,0.6,0.9,0.8,3.0,6.6,"$2,530,920",2000,TonyBattie2000,"$34,000,000"
27,JonathanBender,SF,19,IND,24,1,5.4,1.0,2.9,.329,0.1,0.5,.167,0.9,2.4,.362,.343,0.7,1.0,.667,0.2,0.7,0.9,0.1,0.0,0.2,0.3,0.8,2.7,"$2,214,600",2000,JonathanBender2000,"$34,000,000"
28,BenoitBenjamin,C,35,CLE,3,0,2.7,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.7,"$123,529",2000,BenoitBenjamin2000,"$34,000,000"
29,CoreyBenjamin,SG,21,CHI,48,10,18.0,3.0,7.3,.414,0.6,1.9,.348,2.4,5.4,.437,.459,1.0,1.7,.598,0.4,1.4,1.8,1.1,0.6,0.5,1.5,2.5,7.7,"$696,000",2000,CoreyBenjamin2000,"$34,000,000"
30,MarioBennett,PF,26,LAC,1,0,3.0,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,2000,MarioBennett2000,"$34,000,000"
31,TravisBest,PG,27,IND,82,0,20.6,3.3,6.8,.483,0.4,1.1,.376,2.9,5.7,.504,.514,1.9,2.3,.821,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,"$3,250,000",2000,TravisBest2000,"$34,000,000"
32,MikeBibby,PG,21,VAN,82,82,38.5,5.6,12.6,.445,0.9,2.6,.363,4.7,10.0,.466,.483,2.4,3.0,.780,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5,"$3,092,400",2000,MikeBibby2000,"$34,000,000"
33,ChaunceyBillups,SG,23,DEN,13,5,23.5,2.6,7.8,.337,0.5,3.2,.171,2.1,4.6,.450,.371,2.8,3.4,.841,0.6,2.0,2.6,3.0,0.8,0.2,1.8,2.1,8.6,"$3,100,080",2000,ChaunceyBillups2000,"$34,000,000"
34,MookieBlaylock,PG,32,GSW,73,72,33.7,4.5,11.5,.391,1.4,4.1,.336,3.1,7.3,.422,.451,0.9,1.3,.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3,"$4,200,000",2000,MookieBlaylock2000,"$34,000,000"
35,CorieBlount,PF,31,PHO,38,1,11.7,1.2,2.3,.494,0.0,0.1,.000,1.2,2.3,.506,.494,0.5,0.9,.576,1.4,1.6,3.0,0.3,0.4,0.2,0.7,2.1,2.8,"$1,100,000",2000,CorieBlount2000,"$34,000,000"
36,MuggsyBogues,PG,35,TOR,80,5,21.6,2.0,4.5,.439,0.2,0.6,.333,1.8,3.8,.456,.462,1.0,1.1,.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,"$510,000",2000,MuggsyBogues2000,"$34,000,000"
37,EtdrickBohannon,PF,26,TOT,13,0,9.1,0.5,1.0,.538,0.0,0.0,,0.5,1.0,.538,.538,1.2,1.8,.625,1.0,1.4,2.4,0.4,0.2,0.5,0.8,1.9,2.2,,2000,EtdrickBohannon2000,"$34,000,000"
38,CalvinBooth,C,23,WAS,11,0,13.0,1.5,4.2,.348,0.0,0.0,,1.5,4.2,.348,.348,0.9,1.3,.714,1.4,1.5,2.9,0.6,0.3,1.3,0.5,2.1,3.8,"$301,875",2000,CalvinBooth2000,"$34,000,000"
39,LazaroBorrell,SF,27,SEA,17,6,9.8,1.6,3.7,.444,0.0,0.2,.000,1.6,3.5,.467,.444,0.4,0.6,.545,0.8,1.5,2.4,0.6,0.4,0.2,0.4,0.5,3.6,"$301,875",2000,LazaroBorrell2000,"$34,000,000"
40,CalBowdler,SF,22,ATL,46,0,9.2,1.1,2.5,.426,0.0,0.0,.000,1.1,2.5,.430,.426,0.5,0.8,.632,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1.0,2.7,"$1,025,880",2000,CalBowdler2000,"$34,000,000"
41,BruceBowen,SF,28,TOT,69,2,12.7,1.0,2.8,.371,0.4,0.8,.466,0.7,2.0,.331,.441,0.4,0.6,.581,0.4,1.0,1.4,0.5,0.3,0.2,0.3,1.7,2.8,"$510,000",2000,BruceBowen2000,"$34,000,000"
42,RyanBowen,SF,24,DEN,52,0,11.3,0.9,2.3,.393,0.0,0.2,.111,0.9,2.1,.417,.397,0.7,1.0,.717,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,"$301,875",2000,RyanBowen2000,"$34,000,000"
43,IraBowman,SG,26,PHI,11,0,1.8,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.1,0.2,.500,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.5,"$4,529",2000,IraBowman2000,"$34,000,000"
44,EarlBoykins,PG,23,TOT,26,0,10.0,2.2,4.5,.483,0.3,0.8,.400,1.8,3.7,.500,.517,0.7,0.9,.783,0.5,0.5,1.0,1.8,0.5,0.0,0.7,0.9,5.3,"$88,324",2000,EarlBoykins2000,"$34,000,000"
45,ShawnBradley,C,27,DAL,77,54,24.7,3.5,7.2,.479,0.0,0.1,.200,3.4,7.1,.482,.480,1.5,1.9,.765,2.1,4.4,6.5,0.8,0.9,2.5,1.0,3.4,8.4,"$7,560,000",2000,ShawnBradley2000,"$34,000,000"
46,AJBramlett,C,23,CLE,8,0,7.6,0.5,2.6,.190,0.0,0.0,,0.5,2.6,.190,.190,0.0,0.0,,1.5,1.3,2.8,0.0,0.1,0.0,0.4,1.6,1.0,"$118,974",2000,AJBramlett2000,"$34,000,000"
47,EltonBrand,PF,20,CHI,81,80,37.0,7.8,16.1,.482,0.0,0.0,.000,7.8,16.1,.483,.482,4.5,6.6,.685,4.3,5.7,10.0,1.9,0.8,1.6,2.8,3.2,20.1,"$3,375,960",2000,EltonBrand2000,"$34,000,000"
48,TerrellBrandon,PG,29,MIN,71,71,36.4,6.8,14.7,.466,0.7,1.9,.402,6.1,12.8,.476,.492,2.6,2.9,.899,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,"$7,400,000",2000,TerrellBrandon2000,"$34,000,000"
49,ChuckyBrown,PF,31,TOT,63,29,17.4,2.3,5.2,.451,0.0,0.2,.200,2.3,5.0,.459,.454,0.6,0.8,.692,0.6,2.1,2.7,1.0,0.3,0.3,0.7,1.8,5.3,"$510,000",2000,ChuckyBrown2000,"$34,000,000"
50,DeeBrown,PG,31,TOR,38,12,17.7,2.4,6.8,.360,1.8,4.9,.358,0.7,1.9,.366,.490,0.3,0.4,.688,0.2,1.2,1.4,2.3,0.6,0.1,1.0,1.6,6.9,"$4,000,000",2000,DeeBrown2000,"$34,000,000"
51,MarcusBrown,SG,25,DET,6,0,7.5,0.7,2.3,.286,0.0,1.2,.000,0.7,1.2,.571,.286,0.3,0.3,1.000,0.5,0.7,1.2,0.5,0.0,0.0,0.5,1.3,1.7,"$43,294",2000,MarcusBrown2000,"$34,000,000"
52,PJBrown,PF,30,MIA,80,80,28.8,4.0,8.4,.480,0.0,0.0,.000,4.0,8.4,.481,.480,1.5,2.0,.755,2.7,4.8,7.5,1.8,0.8,0.8,1.3,3.3,9.6,"$5,124,800",2000,PJBrown2000,"$34,000,000"
53,RandyBrown,PG,31,CHI,59,55,27.5,2.7,7.4,.361,0.1,0.1,.500,2.6,7.3,.359,.364,1.1,1.4,.738,0.4,2.1,2.4,3.4,1.0,0.3,1.8,2.0,6.4,"$1,200,000",2000,RandyBrown2000,"$34,000,000"
54,RickBrunson,PG,27,NYK,37,0,7.8,0.8,1.9,.414,0.1,0.4,.154,0.7,1.5,.474,.429,0.3,0.5,.611,0.1,0.6,0.7,1.3,0.2,0.0,0.8,0.9,1.9,"$485,000",2000,RickBrunson2000,"$34,000,000"
55,KobeBryant,SG,21,LAL,66,62,38.2,8.4,17.9,.468,0.7,2.2,.319,7.7,15.7,.489,.488,5.0,6.1,.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,"$9,000,000",2000,KobeBryant2000,"$34,000,000"
56,MarkBryant,PF,34,CLE,75,50,22.8,2.3,4.6,.503,0.0,0.0,,2.3,4.6,.503,.503,1.0,1.3,.809,1.7,3.0,4.7,0.8,0.4,0.4,1.2,3.3,5.7,"$2,000,000",2000,MarkBryant2000,"$34,000,000"
57,GregBuckner,SG,23,DAL,48,1,19.2,2.3,4.9,.476,0.2,0.5,.385,2.1,4.3,.488,.498,0.9,1.3,.683,1.2,2.5,3.6,1.1,0.8,0.4,0.8,3.1,5.7,"$47,647",2000,GregBuckner2000,"$34,000,000"
58,JudBuechler,SF,31,DET,58,5,11.3,0.9,2.7,.353,0.3,1.4,.217,0.6,1.3,.507,.410,0.0,0.1,.286,0.5,1.1,1.6,0.6,0.4,0.3,0.2,0.9,2.2,"$1,100,000",2000,JudBuechler2000,"$34,000,000"
59,RodneyBuford,SG,22,MIA,34,0,11.4,1.8,4.4,.411,0.2,0.9,.241,1.6,3.6,.451,.434,0.5,0.6,.727,0.3,1.1,1.4,0.6,0.3,0.2,0.3,1.3,4.3,"$301,875",2000,RodneyBuford2000,"$34,000,000"
60,MattBullard,PF,32,HOU,56,27,18.3,2.5,6.1,.409,1.4,3.2,.446,1.1,2.9,.368,.525,0.4,0.5,.833,0.2,2.2,2.5,1.1,0.3,0.2,0.6,1.5,6.8,"$1,333,333",2000,MattBullard2000,"$34,000,000"
61,ScottBurrell,SF,29,NJN,74,9,18.1,2.2,5.7,.394,1.1,3.1,.353,1.1,2.5,.444,.492,0.5,0.7,.780,0.9,2.6,3.5,1.0,0.9,0.6,0.5,2.3,6.1,"$1,000,000",2000,ScottBurrell2000,"$34,000,000"
62,JasonCaffey,PF,26,GSW,71,56,30.4,4.5,9.5,.479,0.0,0.0,.000,4.5,9.5,.480,.479,2.9,4.9,.597,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12.0,"$3,937,500",2000,JasonCaffey2000,"$34,000,000"
63,MichaelCage,C,38,NJN,20,7,12.1,0.6,1.2,.500,0.0,0.0,,0.6,1.2,.500,.500,0.2,0.2,1.000,1.7,2.4,4.1,0.5,0.4,0.4,0.2,1.5,1.4,"$510,000",2000,MichaelCage2000,"$34,000,000"
64,MarcusCamby,C,25,NYK,59,11,26.2,3.8,8.0,.480,0.0,0.0,.500,3.8,7.9,.480,.481,2.5,3.7,.670,2.9,4.9,7.8,0.8,0.7,2.0,1.2,3.5,10.2,"$5,250,000",2000,MarcusCamby2000,"$34,000,000"
65,EldenCampbell,C,31,CHH,78,77,32.5,4.7,10.6,.446,0.0,0.1,.000,4.7,10.6,.450,.446,3.2,4.6,.690,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,"$7,975,000",2000,EldenCampbell2000,"$34,000,000"
66,AntoineCarr,SF,38,VAN,21,0,10.5,1.3,3.0,.438,0.0,0.0,,1.3,3.0,.438,.438,0.5,0.7,.786,0.4,1.1,1.5,0.3,0.1,0.3,0.4,2.0,3.2,"$1,000,000",2000,AntoineCarr2000,"$34,000,000"
67,ChrisCarr,SF-SG,25,TOT,57,2,20.5,3.4,8.7,.395,0.6,1.8,.317,2.9,6.9,.415,.427,1.9,2.2,.856,0.7,2.3,3.0,1.5,0.5,0.3,2.1,2.0,9.3,"$90,000",2000,ChrisCarr2000,"$34,000,000"
68,AnthonyCarter,PG,24,MIA,79,30,23.5,2.5,6.4,.395,0.0,0.3,.130,2.5,6.2,.407,.398,1.2,1.6,.750,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,"$385,000",2000,AnthonyCarter2000,"$34,000,000"
69,VinceCarter,SF,23,TOR,82,82,38.1,9.6,20.7,.465,1.2,2.9,.403,8.5,17.8,.475,.493,5.3,6.7,.791,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,"$2,267,280",2000,VinceCarter2000,"$34,000,000"
70,SamCassell,PG,30,MIL,81,81,35.8,6.7,14.4,.466,0.3,1.1,.289,6.4,13.3,.481,.477,4.8,5.5,.876,0.9,2.9,3.7,9.0,1.3,0.1,3.3,3.1,18.6,"$3,500,000",2000,SamCassell2000,"$34,000,000"
71,KelvinCato,C,25,HOU,65,32,24.3,3.3,6.2,.537,0.0,0.1,.000,3.3,6.1,.543,.537,2.1,3.2,.649,1.6,4.4,6.0,0.4,0.5,1.9,1.1,2.7,8.7,"$1,299,000",2000,KelvinCato2000,"$34,000,000"
72,DuaneCauswell,C,31,MIA,25,2,7.4,0.8,1.5,.541,0.0,0.0,,0.8,1.5,.541,.541,1.0,1.5,.684,0.4,1.4,1.9,0.1,0.1,0.6,0.4,1.7,2.6,"$1,696,387",2000,DuaneCauswell2000,"$34,000,000"
73,CedricCeballos,SF,30,DAL,69,25,29.9,6.5,14.5,.446,0.6,1.9,.328,5.8,12.6,.464,.468,3.0,3.6,.843,2.5,4.2,6.7,1.3,0.8,0.3,1.8,2.4,16.6,"$3,500,000",2000,CedricCeballos2000,"$34,000,000"
74,JohnCelestand,PG,22,LAL,16,0,11.6,0.9,2.8,.333,0.1,0.6,.222,0.8,2.3,.361,.356,0.3,0.4,.833,0.1,0.6,0.7,1.3,0.4,0.0,1.0,1.4,2.3,"$301,875",2000,JohnCelestand2000,"$34,000,000"
75,RexChapman,SG,32,PHO,53,19,18.1,2.3,6.0,.388,0.8,2.3,.333,1.6,3.7,.421,.452,1.1,1.5,.756,0.2,1.3,1.5,1.2,0.4,0.0,0.7,1.3,6.6,"$3,150,000",2000,RexChapman2000,"$34,000,000"
76,CalbertCheaney,SG,28,BOS,67,19,19.5,1.8,4.1,.440,0.3,0.8,.333,1.5,3.3,.466,.473,0.1,0.3,.429,0.3,1.7,2.1,1.2,0.7,0.2,0.7,2.4,4.0,"$2,000,000",2000,CalbertCheaney2000,"$34,000,000"
77,PeteChilcutt,PF,31,TOT,56,2,10.7,0.9,2.3,.417,0.1,0.5,.231,0.8,1.8,.465,.441,0.1,0.1,1.000,0.8,1.5,2.3,0.5,0.3,0.2,0.4,1.3,2.1,"$510,000",2000,PeteChilcutt2000,"$34,000,000"
78,ChrisChilds,PG,32,NYK,71,2,23.6,2.1,5.0,.409,0.5,1.5,.356,1.5,3.6,.431,.461,0.7,0.8,.797,0.2,1.8,2.1,4.0,0.5,0.1,1.5,3.4,5.3,"$4,160,000",2000,ChrisChilds2000,"$34,000,000"
79,DougChristie,SG,29,TOR,73,73,31.0,4.3,10.5,.407,1.4,3.8,.360,2.9,6.7,.434,.472,2.5,3.0,.843,0.9,3.0,3.9,4.4,1.4,0.6,2.0,2.3,12.4,"$2,742,600",2000,DougChristie2000,"$34,000,000"
80,KeonClark,C,24,DEN,81,20,22.8,3.5,6.5,.542,0.0,0.1,.125,3.5,6.4,.548,.543,1.5,2.2,.688,2.0,4.2,6.2,0.9,0.6,1.4,1.5,2.9,8.6,"$1,289,400",2000,KeonClark2000,"$34,000,000"
81,KeithCloss,C,23,LAC,57,6,14.4,1.7,3.5,.487,0.0,0.1,.000,1.7,3.4,.495,.487,0.8,1.4,.590,1.1,2.0,3.1,0.4,0.2,1.3,0.6,1.4,4.2,"$1,680,000",2000,KeithCloss2000,"$34,000,000"
82,DerrickColeman,PF,32,CHH,74,64,31.7,6.0,13.2,.456,0.7,1.9,.362,5.3,11.3,.471,.482,4.0,5.1,.785,1.7,6.9,8.5,2.4,0.5,1.8,2.3,2.6,16.7,"$7,370,000",2000,DerrickColeman2000,"$34,000,000"
83,BimboColes,PG,31,ATL,80,54,24.1,3.5,7.6,.455,0.1,0.5,.205,3.4,7.1,.472,.461,1.1,1.3,.817,0.4,1.8,2.2,3.6,0.7,0.1,1.3,2.2,8.1,"$2,300,000",2000,BimboColes2000,"$34,000,000"
84,MartyConlon,C,32,LAC,3,0,3.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.7,"$343,588",2000,MartyConlon2000,"$34,000,000"
85,TyroneCorbin,SF,37,SAC,54,5,17.4,1.6,4.6,.356,0.2,0.8,.227,1.4,3.8,.384,.377,0.6,0.7,.846,0.7,2.3,3.1,1.1,0.7,0.1,0.5,1.8,4.1,"$510,000",2000,TyroneCorbin2000,"$34,000,000"
86,ChrisCrawford,PF,24,ATL,55,11,12.1,1.7,4.2,.397,0.1,0.5,.259,1.5,3.7,.416,.413,1.1,1.5,.778,0.9,0.9,1.8,0.6,0.3,0.3,0.7,1.5,4.6,"$2,000,000",2000,ChrisCrawford2000,"$34,000,000"
87,AustinCroshere,PF,24,IND,81,14,23.3,3.6,8.1,.441,0.8,2.1,.362,2.8,5.9,.470,.489,2.4,2.9,.848,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,"$1,515,120",2000,AustinCroshere2000,"$34,000,000"
88,JohnCrotty,PG,30,DET,69,0,13.6,1.5,3.6,.422,0.5,1.2,.413,1.1,2.5,.427,.488,1.2,1.3,.860,0.2,0.8,1.1,1.9,0.4,0.1,0.8,1.5,4.7,"$1,237,000",2000,JohnCrotty2000,"$34,000,000"
89,TerryCummings,PF,38,GSW,22,0,18.1,3.5,8.0,.429,0.0,0.0,,3.5,8.0,.429,.429,1.5,1.8,.821,2.0,2.8,4.9,1.0,0.6,0.4,1.2,3.4,8.4,"$2,600,000",2000,TerryCummings2000,"$34,000,000"
90,VonteegoCummings,PG,23,GSW,75,11,23.9,3.5,8.7,.405,0.7,2.0,.325,2.9,6.7,.429,.442,1.7,2.3,.751,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4,"$704,400",2000,VonteegoCummings2000,"$34,000,000"
91,BillCurley,SF-PF,27,TOT,28,0,11.0,1.0,2.4,.426,0.0,0.0,.000,1.0,2.4,.433,.426,0.6,0.9,.720,0.6,1.1,1.8,0.5,0.5,0.1,0.8,2.2,2.7,"$117,867",2000,BillCurley2000,"$34,000,000"
92,DellCurry,SG,35,TOR,67,9,16.3,2.9,6.8,.427,1.4,3.6,.393,1.5,3.2,.467,.532,0.4,0.5,.750,0.2,1.3,1.5,1.3,0.5,0.1,0.6,1.0,7.6,"$2,100,000",2000,DellCurry2000,"$34,000,000"
93,MichaelCurry,SG,31,DET,82,3,19.6,2.2,4.6,.480,0.0,0.1,.200,2.2,4.6,.484,.482,1.7,2.0,.839,0.3,1.0,1.3,1.1,0.4,0.1,0.9,2.5,6.2,"$2,000,000",2000,MichaelCurry2000,"$34,000,000"
94,ErickDampier,C,24,GSW,21,12,23.6,3.3,8.2,.405,0.0,0.0,,3.3,8.2,.405,.405,1.3,2.4,.529,2.3,4.1,6.4,0.9,0.4,0.7,1.4,3.6,8.0,"$4,988,000",2000,ErickDampier2000,"$34,000,000"
95,AntonioDaniels,SG,24,SAS,68,1,17.6,2.4,5.1,.474,0.3,1.0,.333,2.1,4.1,.507,.506,1.1,1.5,.713,0.2,1.0,1.3,2.6,0.8,0.1,0.9,1.1,6.2,"$2,794,920",2000,AntonioDaniels2000,"$34,000,000"
96,KornelDavid,SF,28,TOT,32,5,14.8,2.1,4.9,.427,0.0,0.1,.000,2.1,4.8,.435,.427,1.4,1.8,.804,0.8,1.7,2.5,0.5,0.5,0.1,1.0,1.8,5.6,"$202,941",2000,KornelDavid2000,"$34,000,000"
97,AntonioDavis,C,31,TOR,79,78,31.4,4.0,9.0,.440,0.0,0.0,,4.0,9.0,.440,.440,3.6,4.7,.765,3.0,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,"$4,200,000",2000,AntonioDavis2000,"$34,000,000"
98,BaronDavis,PG,20,CHH,82,0,18.6,2.2,5.3,.420,0.3,1.4,.225,1.9,3.9,.488,.449,1.2,1.9,.634,0.6,1.4,2.0,3.8,1.2,0.2,1.7,2.5,5.9,"$2,712,480",2000,BaronDavis2000,"$34,000,000"
